DATE,PAYNSA
1974-06-01,79336
1974-07-01,78438
1974-08-01,78584
1974-09-01,79084
1974-10-01,79381
1974-11-01,79060
1974-12-01,78419
1975-01-01,76189
1975-02-01,75764
1975-03-01,75808
1975-04-01,76142
1975-05-01,76774
1975-06-01,77270
1975-07-01,76592
1975-08-01,77120
1975-09-01,77726
1975-10-01,78283
1975-11-01,78437
1975-12-01,78726
1976-01-01,77376
1976-02-01,77605
1976-03-01,78214
1976-04-01,79042
1976-05-01,79534
1976-06-01,80164
1976-07-01,79393
1976-08-01,79659
1976-09-01,80362
1976-10-01,80593
1976-11-01,80953
1976-12-01,81129
1977-01-01,79540
1977-02-01,79747
1977-03-01,80604
1977-04-01,81539
1977-05-01,82376
1977-06-01,83338
1977-07-01,82677
1977-08-01,82971
1977-09-01,83922
1977-10-01,84423
1977-11-01,84868
1977-12-01,85105
1978-01-01,83442
1978-02-01,83738
1978-03-01,84732
1978-04-01,86037
1978-05-01,86842
1978-06-01,87830
1978-07-01,87002
1978-08-01,87305
1978-09-01,87932
1978-10-01,88549
1978-11-01,89099
1978-12-01,89408
1979-01-01,87650
1979-02-01,87889
1979-03-01,88792
1979-04-01,89313
1979-05-01,90126
1979-06-01,90971
1979-07-01,89976
1979-08-01,90072
1979-09-01,90616
1979-10-01,91089
1979-11-01,91287
1979-12-01,91415
1980-01-01,89631
1980-02-01,89764
1980-03-01,90324
1980-04-01,90747
1980-05-01,90763
1980-06-01,90922
1980-07-01,89582
1980-08-01,89865
1980-09-01,90530
1980-10-01,91128
1980-11-01,91475
1980-12-01,91661
1981-01-01,89837
1981-02-01,89985
1981-03-01,90520
1981-04-01,91157
1981-05-01,91647
1981-06-01,92296
1981-07-01,91371
1981-08-01,91378
1981-09-01,91876
1981-10-01,92054
1981-11-01,91888
1981-12-01,91555
1982-01-01,89328
1982-02-01,89417
1982-03-01,89710
1982-04-01,89993
1982-05-01,90478
1982-06-01,90669
1982-07-01,89338
1982-08-01,89212
1982-09-01,89628
1982-10-01,89598
1982-11-01,89495
1982-12-01,89396
1983-01-01,87729
1983-02-01,87741
1983-03-01,88344
1983-04-01,89187
1983-05-01,90019
1983-06-01,90844
1983-07-01,90271
1983-08-01,89998
1983-09-01,91719
1983-10-01,92233
1983-11-01,92592
1983-12-01,92863
